Name,Symbol,Charting Symbol
NVIDIA Corp.,NVDA,STOCK/US/XNAS/NVDA
ASML Holding N.V.,ASML,STOCK/US/XNAS/ASML
Microsoft Corp.,MSFT,STOCK/US/XNAS/MSFT
Eli Lilly & Co.,LLY,STOCK/US/XNYS/LLY
Costco Wholesale Corp.,COST,STOCK/US/XNAS/COST
Ryanair Holdings PLC ADR,RYAAY,STOCK/US/XNAS/RYAAY
TransDigm Group Inc.,TDG,STOCK/US/XNYS/TDG
Ashtead Technology Holdings PLC,UK:AT,STOCK/UK/XLON/AT
