Name,Symbol,Charting Symbol
Nu Holdings Ltd. Cl A,NU,STOCK/US/XNYS/NU
Vale S.A. ADR,VALE,STOCK/US/XNYS/VALE
Petroleo Brasileiro S/A Pref,BR:PETR4,STOCK/BR/BVMF/PETR4
Companhia de Saneamento Basico do Estado de Sao Paulo Ord,BR:SBSP3,STOCK/BR/BVMF/SBSP3
MercadoLibre Inc.,MELI,STOCK/US/XNAS/MELI
Weg S/A Ord,BR:WEGE3,STOCK/BR/BVMF/WEGE3
